src_ip,dst_ip,protocol,length,timestamp,threat_score,attack_type,is_malicious
74.125.250.135,10.209.19.197,TCP,132,2026-01-29 04:19:03.036478,0.6182,SUSPICIOUS,f
10.209.19.197,142.250.9.94,TCP,55,2026-01-29 04:19:03.023439,0.6182,SUSPICIOUS,f
10.209.19.197,74.125.250.135,TCP,54,2026-01-29 04:19:02.981642,0.6182,SUSPICIOUS,f
142.250.206.174,10.209.19.197,UDP,68,2026-01-29 04:19:02.976429,0.2471,BENIGN,f
74.125.250.135,10.209.19.197,TCP,118,2026-01-29 04:19:02.968893,0.6182,SUSPICIOUS,f
74.125.250.135,10.209.19.197,TCP,60,2026-01-29 04:19:02.96387,0.6182,SUSPICIOUS,f
74.125.250.135,10.209.19.197,TCP,60,2026-01-29 04:19:02.957871,0.6182,SUSPICIOUS,f
10.209.19.197,44.221.202.107,TCP,55,2026-01-29 04:19:02.91369,0.6182,SUSPICIOUS,f
10.209.19.197,74.125.250.135,TCP,180,2026-01-29 04:19:02.908684,0.6182,SUSPICIOUS,f
10.209.19.197,142.250.206.174,UDP,83,2026-01-29 04:19:02.901588,0.2471,BENIGN,f
142.250.206.174,10.209.19.197,UDP,65,2026-01-29 04:19:02.895669,0.2471,BENIGN,f
142.250.206.174,10.209.19.197,UDP,598,2026-01-29 04:19:02.888942,0.2471,BENIGN,f
10.209.19.197,142.250.206.174,UDP,76,2026-01-29 04:19:02.865412,0.2471,BENIGN,f
142.250.206.174,10.209.19.197,UDP,75,2026-01-29 04:19:02.850633,0.2471,BENIGN,f
10.209.19.197,142.250.206.174,UDP,274,2026-01-29 04:19:02.806846,0.2471,BENIGN,f
10.209.19.197,142.250.206.174,UDP,1285,2026-01-29 04:19:02.765547,0.2471,BENIGN,f
199.232.210.172,10.209.19.197,TCP,1354,2026-01-29 04:19:02.611516,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1514,2026-01-29 04:19:02.604824,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,56,2026-01-29 04:19:02.598218,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1354,2026-01-29 04:19:02.591613,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1514,2026-01-29 04:19:02.585591,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1514,2026-01-29 04:19:02.578942,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1514,2026-01-29 04:19:02.572515,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,56,2026-01-29 04:19:02.566652,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1514,2026-01-29 04:19:02.559796,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1354,2026-01-29 04:19:02.448953,0.6182,SUSPICIOUS,f
199.232.210.172,10.209.19.197,TCP,1514,2026-01-29 04:19:02.443756,0.6182,SUSPICIOUS,f
10.209.19.197,199.232.210.172,TCP,54,2026-01-29 04:19:02.437169,0.6182,SUSPICIOUS,f
10.209.19.197,199.232.210.172,TCP,66,2026-01-29 04:19:02.431527,0.6182,SUSPICIOUS,f
10.209.19.197,199.232.210.172,TCP,66,2026-01-29 04:19:02.424729,0.6182,SUSPICIOUS,f
